userPlantName,cleanedPlantName,sciName,genus,itis_id,rank,notes,isConifer
Fraser magnolia,Fraser magnolia,Magnolia fraseri,Magnolia,18073,species,,0
Mountain or fraser magnolia,Mountain or fraser magnolia,Magnolia fraseri,Magnolia,18073,species,,0
Apple,Apple,Malus,Malus,25254,genus,,0
Malus,Malus,Malus,Malus,25254,genus,,0
Southern crab apple,Southern crab apple,Malus angustifolia,Malus,25255,species,,0
Southern crabapple,Southern crabapple,Malus angustifolia,Malus,25255,species,,0
Sweet crab apple,Sweet crab apple,Malus coronaria,Malus,25257,species,,0
Oregon crab apple,Oregon crab apple,Malus fusca,Malus,25258,species,,0
Prairie crab apple,Prairie crab apple,Malus ioensis,Malus,25259,species,,0
Malus siberica,Malus siberica,Malus baccata,Malus,25256,species,,0
Malus sargentii,Malus sargentii,Malus sargentii,Malus,507499,species,,0
Morella caroliniensis,Morella caroliniensis,Morella caroliniensis,Morella,507898,species,,0
Southern bayberry,Southern bayberry,Morella caroliniensis,Morella,507898,species,,0
Morella cerifera,Morella cerifera,Morella cerifera,Morella,507899,species,,0
Wax myrtle,Wax myrtle,Morella cerifera,Morella,507899,species,,0
Red bay,Red bay,Morella rubra,Morella,845182,species,,0
Myrica cerifera,Myrica cerifera,Morella cerifera,Morella,507899,species,,0
Mulberry,Mulberry,Morus,Morus,19064,genus,,0
White mulberry,White mulberry,Morus alba,Morus,19066,species,,0
Black mulberry,Black mulberry,Morus nigra,Morus,19069,species,,0
Red mulberry,Red mulberry,Morus rubra,Morus,19070,species,,0
Clerya,Clerya,Unknown,Unknown,NA,genus,possibly Cleyera?,0
Arrowwood,Arrowwood,Viburnum,Viburnum,35249,genus,,0
Arrowwood viburnum,Arrowwood viburnum,Viburnum,Viburnum,35249,genus,,0
Nandina domestica,Nandina domestica,Nandina domestica,Nandina,18848,species,,0
Tupelo,Tupelo,Nyssa,Nyssa,27820,genus,,0
Water tupelo,Water tupelo,Nyssa aquatica,Nyssa,27824,species,,0
Black gum,Black gum,Nyssa sylvatica,Nyssa,27821,species,,0
Blackgum,Blackgum,Nyssa sylvatica,Nyssa,27821,species,,0
Hophornbeam,Hophornbeam,Ostrya,Ostrya,19508,genus,,0
Eastern hophornbeam,Eastern hophornbeam,Ostrya virginiana,Ostrya,19511,species,,0
Sourwood,Sourwood,Oxydendrum arboreum,Oxydendrum,23690,species,,0
Persian ironwood,Persian ironwood,Parrotia persica,Parrotia,895220,species,,0
Redbay,Redbay,Persea borbonia,Persea,18149,species,,0
Common ninebark,Common ninebark,Physocarpus opulifolius,Physocarpus,25282,species,,0
Blue spruce,Blue spruce,Picea pungens,Picea,183307,species,,0
Spruce pine,Spruce pine,Pinus glabra,Pinus,183342,species,,1
Monterey pine,Monterey pine,Pinus radiata,Pinus,183372,species,,1
Eastern white pine,Eastern white pine,Pinus strobus,Pinus,183385,species,,1
Virginia pine,Virginia pine,Pinus virginiana,Pinus,183394,species,,1
Mountain ash,Mountain ash,Piptocarpha tetrantha,Piptocarpha,38860,species,,0
Sycamore,Sycamore,Platanus,Platanus,19019,genus,,0
American sycamore,American sycamore,Platanus occidentalis,Platanus,19020,species,,0
Podocarpus,Podocarpus,Podocarpus,Podocarpus,183488,genus,,0
Balsam poplar,Balsam poplar,Populus balsamifera,Populus,22453,species,,0
Bigtooth aspen,Bigtooth aspen,Populus grandidentata,Populus,22463,species,,0
Quaking aspen,Quaking aspen,Populus tremuloides,Populus,195773,species,,0
Trembling aspen,Trembling aspen,Populus tremuloides,Populus,195773,species,,0
Cherry,Cherry,Prunus,Prunus,24762,genus,,0
Cherry and plum,Cherry and plum,Prunus,Prunus,24762,genus,,0
Chokecherry,Chokecherry,Prunus,Prunus,24762,genus,,0
Wild cherry,Wild cherry,Prunus,Prunus,24762,genus,,0
American plum,American plum,Prunus americana,Prunus,24763,species,,0
Sweet cherry,Sweet cherry,Prunus avium,Prunus,24770,species,,0
Sour cherry,Sour cherry,Prunus cerasus,Prunus,24773,species,,0
Cherry laurel,Cherry laurel,Prunus laurocerasus,Prunus,24786,species,,0
Prunus maritima,Prunus maritima,Prunus maritima,Prunus,24790,species,,0
Japanese apricot,Japanese apricot,Prunus mume,Prunus,506231,species,,0
Pin cherry,Pin cherry,Prunus pensylvanica,Prunus,24799,species,,0
Peach,Peach,Prunus persica,Prunus,24765,species,,0
Black cherry,Black cherry,Prunus serotina,Prunus,24764,species,,0
Kwanzan cherry,Kwanzan cherry,Prunus serrulata,Prunus,506233,species,,0
Weeping cherry,Weeping cherry,Prunus subhirtella,Prunus,565436,species,,0
Wafer ash,Wafer ash,Ptelea trifoliata,Ptelea,28992,species,,0
Buffalo nut,Buffalo nut,Pyrularia pubera,Pyrularia,504705,species,,0
Pear,Pear,Pyrus,Pyrus,25294,genus,,0
Callery pear,Callery pear,Pyrus calleryana,Pyrus,504706,species,,0
Pyrus pyrifolia,Pyrus pyrifolia,Pyrus pyrifolia,Pyrus,25296,species,,0
Oak,Oak,Quercus,Quercus,19276,genus,,0
California live oak,California live oak,Quercus agrifolia,Quercus,19289,species,,0
White oak,White oak,Quercus alba,Quercus,19290,species,,0
Swamp white oak,Swamp white oak,Quercus bicolor,Quercus,19300,species,,0
Scarlet oak,Scarlet oak,Quercus coccinea,Quercus,19288,species,,0
Southern red oak,Southern red oak,Quercus falcata,Quercus,19277,species,,0
Chinese evergreen oak,Chinese evergreen oak,Quercus glauca,Quercus,845168,species,,0
Scrub oak,Scrub oak,Quercus ilicifolia,Quercus,19358,species,suggested change to 'bear oak' due to ambiguity,0
Shingle oak,Shingle oak,Quercus imbricaria,Quercus,19359,species,,0
Turkey oak,Turkey oak,Quercus laevis,Quercus,19367,species,,0
Laurel oak,Laurel oak,Quercus laurifolia,Quercus,19368,species,,0
Overcup oak,Overcup oak,Quercus lyrata,Quercus,19278,species,,0
Bur oak,Bur oak,Quercus macrocarpa,Quercus,19287,species,,0
Blackjack oak,Blackjack oak,Quercus marilandica,Quercus,19374,species,,0
Swamp chestnut oak,Swamp chestnut oak,Quercus michauxii,Quercus,19279,species,,0
Chestnut oak,Chestnut oak,Quercus montana,Quercus,19379,species,,0
Quercus montana,Quercus montana,Quercus montana,Quercus,19379,species,,0
Water oak,Water oak,Quercus nigra,Quercus,19280,species,,0
Cherrybark oak,Cherrybark oak,Quercus pagoda,Quercus,195195,species,,0
Pin oak,Pin oak,Quercus palustris,Quercus,19281,species,,0
Willow oak,Willow oak,Quercus phellos,Quercus,19282,species,,0
Quercus robur,Quercus robur,Quercus robur,Quercus,19405,species,,0
Northern red oak,Northern red oak,Quercus rubra,Quercus,19408,species,,0
Red oak,Red oak,Quercus rubra,Quercus,19408,species,,0
Black oak,Black oak,Quercus velutina,Quercus,19447,species,,0
Live oak,Live oak,Quercus virginiana,Quercus,19283,species,,0
Shumard oak,Shumard oak,Quercus shumardii,Quercus,19417,species,,0
Buckthorn,Buckthorn,Rhamnus,Rhamnus,28561,genus,,0
Common buckthorn,Common buckthorn,Rhamnus cathartica,Rhamnus,28573,species,,0
Rhamnus cathartica,Rhamnus cathartica,Rhamnus cathartica,Rhamnus,28573,species,,0
Frangula alnus,Frangula alnus,Rhamnus frangula,Rhamnus,28579,species,,0
Azalea,Azalea,Rhododendron,Rhododendron,23700,genus,,0
Rhododendron,Rhododendron,Rhododendron,Rhododendron,23700,genus,,0
Florida azalea,Florida azalea,Rhododendron austrinum,Rhododendron,23705,species,,0
Rhododendron austrinum,Rhododendron austrinum,Rhododendron austrinum,Rhododendron,23705,species,,0
Rhododendron canescens,Rhododendron canescens,Rhododendron canescens,Rhododendron,23712,species,,0
Catawba rhododendron,Catawba rhododendron,Rhododendron catawbiense,Rhododendron,23714,species,,0
Piedmont azalea,Piedmont azalea,Rhododendron flammeum,Rhododendron,23717,species,,0
Plumleaf azalea,Plumleaf azalea,Rhododendron prunifolium,Rhododendron,23728,species,,0
Coastal azalea,Coastal azalea,Rhododendron atlanticum,Rhododendron,23704,species,,0
Great rhododendron,Great rhododendron,Rhododendron maximum,Rhododendron,23721,species,,0
Jetbead,Jetbead,Rhodotypos scandens,Rhodotypos,25298,species,,0
Sumac,Sumac,Rhus,Rhus,28772,genus,,0
Rhus copallinum,Rhus copallinum,Rhus copallinum,Rhus,504754,species,,0
Rhus glabra,Rhus glabra,Rhus glabra,Rhus,28782,species,,0
Rhus typhina,Rhus typhina,Rhus typhina,Rhus,28777,species,,0
Black locust,Black locust,Robinia pseudoacacia,Robinia,504804,species,,0
Rose,Rose,Rosa,Rosa,24807,genus,,0
Multiflora rose,Multiflora rose,Rosa multiflora,Rosa,24833,species,,0
Brambles,Brambles,Rubus,Rubus,24848,genus,,0
Wineberry,Wineberry,Rubus phoenicolasius,Rubus,25017,species,,0
Willow,Willow,Salix,Salix,22476,genus,,0
Weeping willow,Weeping willow,Salix babylonica,Salix,837788,species,,0
Black willow,Black willow,Salix nigra,Salix,22484,species,,0
Elderberry,Elderberry,Sambucus,Sambucus,35315,species,,0
Red elderberry,Red elderberry,Sambucus racemosa,Sambucus,35326,species,,0
Sassafras,Sassafras,Sassafras,Sassafras,18157,genus,,0
American mountain-ash,American mountain-ash,Sorbus americana,Sorbus,25319,species,,0
American bladdernut,American bladdernut,Staphylea trifolia,Staphylea,28646,species,,0
Stewartia rostrata,Stewartia rostrata,Stewartia,Stewartia,21389,genus,,0
Japanese snowbell,Japanese snowbell,Styrax japonicus,Styrax,505974,species,,0
Symplocos tinctoria,Symplocos tinctoria,Symplocos tinctoria,Symplocos,23878,species,,0
Lilac,Lilac,Syringa,Syringa,32994,genus,,0
Syringa reticulata,Syringa reticulata,Syringa reticulata,Syringa,507196,species,,0
Bald cypress,Bald cypress,Taxodium distichum,Taxodium,18041,species,,0
Yew,Yew,Taxus,Taxus,194882,genus,,1
Northern white-cedar,Northern white-cedar,Thuja occidentalis,Thuja,505490,species,,1
White cedar,White cedar,Thuja occidentalis,Thuja,505490,species,,1
American basswood,American basswood,Tilia americana,Tilia,21536,species,,0
Basswood,Basswood,Tilia americana,Tilia,21536,species,,0
Littleleaf linden,Littleleaf linden,Tilia cordata,Tilia,505507,species,,0
Tilia cordata,Tilia cordata,Tilia cordata,Tilia,505507,species,,0
Tilia x europaea,Tilia x europaea,Tilia X europaea,Tilia,21538,species,,0
Chinese tallowtree,Chinese tallowtree,Triadica sebifera,Triadica,522777,species,,0
Eastern hemlock,Eastern hemlock,Tsuga canadensis,Tsuga,183397,species,,1
Carolina hemlock,Carolina hemlock,Tsuga caroliniana,Tsuga,183399,species,,1
Elm,Elm,Ulmus,Ulmus,19048,genus,,0
Ulmus,Ulmus,Ulmus,Ulmus,19048,genus,,0
Winged elm,Winged elm,Ulmus alata,Ulmus,19051,species,,0
American elm,American elm,Ulmus americana,Ulmus,19049,species,,0
Siberian elm,Siberian elm,Ulmus pumila,Ulmus,19057,species,,0
Slippery elm,Slippery elm,Ulmus rubra,Ulmus,19050,species,,0
White elm,White elm,Ulmus americana,Ulmus,19049,species,,0
California laurel,California laurel,Umbellularia californica,Umbellularia,18208,species,,0
Blueberry,Blueberry,Vaccinium,Vaccinium,23571,genus,,0
Vaccinium,Vaccinium,Vaccinium,Vaccinium,23571,genus,,0
Highbush blueberry,Highbush blueberry,Vaccinium corymbosum,Vaccinium,23573,species,,0
Vaccinium caesariense,Vaccinium caesariense,Vaccinium corymbosum,Vaccinium,23573,species,,0
Vaccinium corymbosum,Vaccinium corymbosum,Vaccinium corymbosum,Vaccinium,23573,species,,0
Vaccinum corymbosum,Vaccinum corymbosum,Vaccinium corymbosum,Vaccinium,23573,species,,0
Vaccineum stamineum,Vaccineum stamineum,Vaccinium stamineum,Vaccinium,233615,species,,0
Tungoil tree,Tungoil tree,Vernicia fordii,Vernicia,505662,species,,0
Viburnum,Viburnum,Viburnum,Viburnum,35249,genus,,0
Mapleleaf viburnum,Mapleleaf viburnum,Viburnum acerifolium,Viburnum,35255,species,,0
Vibirnum dentatum,Vibirnum dentatum,Viburnum dentatum,Viburnum,35251,species,,0
Viburnum dentatum,Viburnum dentatum,Viburnum dentatum,Viburnum,35251,species,,0
Viburnum dilatatum,Viburnum dilatatum,Viburnum dilatatum,Viburnum,505677,species,,0
Viburnum lentago,Viburnum lentago,Viburnum lentago,Viburnum,35266,species,,0
Possumhaw viburnum,Possumhaw viburnum,Viburnum nudum,Viburnum,35252,species,,0
Viburnum nudum,Viburnum nudum,Viburnum nudum,Viburnum,35252,species,,0
Viburnum plicatum,Viburnum plicatum,Viburnum plicatum,Viburnum,35272,species,,0
Blackhaw,Blackhaw,Viburnum prunifolium,Viburnum,35253,species,,0
Viburnum rufidulum,Viburnum rufidulum,Viburnum rufidulum,Viburnum,35274,species,,0
Viburnum cassinoide,Viburnum cassinoide,Viburnum nudum,Viburnum,35252,species,,0
Viburnum trilobum,Viburnum trilobum,Viburnum opulus,Viburnum,35270,species,,0
Canyon grape,Canyon grape,Vitis arizonica,Vitis,28612,species,,0
