userPlantName,cleanedPlantName,sciName,genus,Family,itis_id,rank,notes,isConifer,compoundLeaves,longLeafThreshold
Walnut,Walnut,Juglans,Juglans,Juglandaceae,19248,genus,,0,1,NA
Black walnut,Black walnut,Juglans nigra,Juglans,Juglandaceae,19254,species,,0,1,NA
Kalmia latifolia,Kalmia latifolia,Kalmia latifolia,Kalmia,Ericaceae,23677,species,,0,NA,NA
Mountain laurel,Mountain laurel,Kalmia latifolia,Kalmia,Ericaceae,23677,species,,0,NA,NA
Kalopanax septemlobus,Kalopanax septemlobus,Kalopanax septemlobus,Kalopanax,Araliaceae,565257,species,,0,NA,NA
Golden rain tree,Golden rain tree,Koelreuteria elegans,Koelreuteria,Sapindaceae,503285,species,,0,NA,NA
Koelreuteria paniculata,Koelreuteria paniculata,Koelreuteria paniculata,Koelreuteria,Sapindaceae,503286,species,,0,NA,NA
Crepe myrtle,Crepe myrtle,Lagerstroemia indica,Lagerstroemia,Lythraceae,27110,species,,0,NA,NA
Tamarack,Tamarack,Larix laricina,Larix,Pinaceae,183412,species,,1,NA,NA
Leucothoe axillaris,Leucothoe axillaris,Leucothoe axillaris,Leucothoe,Ericaceae,23550,species,,0,NA,NA
Privet,Privet,Ligustrum,Ligustrum,Oleaceae,32973,genus,,0,NA,NA
Japanese privet,Japanese privet,Ligustrum japonicum,Ligustrum,Oleaceae,503449,species,,0,NA,NA
Common privet,Common privet,Ligustrum vulgare,Ligustrum,Oleaceae,32980,species,,0,NA,NA
Olive quihoui,Olive quihoui,Ligustrum quihoui,Ligustrum,Oleaceae,32978,species,,0,NA,NA
Quihoui,Quihoui,Ligustrum quihoui,Ligustrum,Oleaceae,32978,species,,0,NA,NA
Spicebush,Spicebush,Lindera,Lindera,Lauraceae,18146,genus,,0,NA,NA
Common spicebush,Common spicebush,Lindera benzoin,Lindera,Lauraceae,18147,species,,0,NA,NA
Lindera benzoin,Lindera benzoin,Lindera benzoin,Lindera,Lauraceae,18147,species,,0,NA,NA
Northern spicebush,Northern spicebush,Lindera benzoin,Lindera,Lauraceae,18147,species,,0,NA,NA
Sweetgum,Sweetgum,Liquidambar styraciflua,Liquidambar,Altingiaceae,19027,species,,0,NA,NA
Tulip poplar,Tulip poplar,Liriodendron tulipifera,Liriodendron,Magnoliaceae,18086,species,,0,NA,NA
