ID,SiteFK,UserFK,ObservationMethod
734,60,1547,Visual
735,60,1368,Visual
736,60,1629,Visual
737,60,1641,Visual
738,60,1316,Visual
739,60,1797,Visual
740,60,1643,"Beat sheet"
741,60,1798,Visual
742,60,1799,Visual
743,60,1352,Visual
744,60,1805,Visual
745,60,1457,Visual
746,60,1806,Visual
747,60,1627,Visual
748,60,1808,Visual
749,60,1634,Visual
750,60,1582,Visual
751,60,1601,Visual
752,60,1807,Visual
753,60,1809,Visual
754,60,1813,Visual
755,60,1812,Visual
756,60,1374,Visual
757,60,1657,Visual
758,60,1814,Visual
759,60,1541,Visual
760,60,1823,Visual
761,60,1598,Visual
762,60,1824,Visual
763,60,1825,Visual
764,60,1575,Visual
765,60,1827,Visual
766,60,1831,Visual
767,60,1646,Visual
768,60,1647,Visual
769,60,1834,Visual
770,60,1833,Visual
771,60,1841,Visual
772,60,1829,Visual
773,60,1838,Visual
774,60,1839,Visual
775,60,1843,Visual
776,60,1353,Visual
777,60,1842,Visual
778,60,1844,Visual
779,60,1847,Visual
780,60,1427,Visual
781,60,1845,Visual
782,60,1851,Visual
783,60,1410,"Beat sheet"
784,60,1357,Visual
785,60,1458,Visual
786,60,1854,Visual
787,60,1855,Visual
788,60,1460,Visual
789,60,1602,Visual
790,60,1804,Visual
791,60,1857,Visual
792,60,1859,Visual
793,60,1860,Visual
794,60,1850,Visual
795,60,1861,Visual
796,60,1858,Visual
797,60,1621,Visual
798,60,1667,Visual
799,60,1863,Visual
800,60,1514,Visual
801,60,1404,Visual
802,60,1856,Visual
803,60,1519,Visual
804,60,1620,Visual
805,60,1862,Visual
806,60,1774,Visual
807,60,1426,Visual
808,60,1608,Visual
809,60,1420,"Beat sheet"
810,60,1448,Visual
811,60,1405,Visual
812,60,1499,Visual
813,60,1467,Visual
814,60,1417,Visual
815,60,1848,Visual
816,60,1561,Visual
817,60,1866,Visual
818,60,1552,Visual
819,60,1530,Visual
820,60,1360,Visual
821,60,1505,Visual
822,60,1370,"Beat sheet"
823,60,1533,Visual
824,60,1465,Visual
825,60,1495,Visual
826,60,1871,Visual
827,60,1638,Visual
828,60,1639,Visual
829,60,1529,Visual
830,60,1636,Visual
831,60,1626,Visual
832,60,1483,Visual
833,60,1640,Visual
834,60,1635,Visual
835,60,1852,Visual
836,60,1631,Visual
837,60,1875,Visual
838,60,1401,Visual
839,60,1464,Visual
840,60,1837,Visual
841,60,1556,Visual
842,60,1361,Visual
843,60,1406,Visual
844,60,1868,Visual
845,60,1588,Visual
846,60,1589,Visual
847,60,1591,Visual
848,60,1597,Visual
849,60,1867,Visual
850,60,1664,Visual
851,60,1874,"Beat sheet"
852,60,1655,Visual
853,60,1576,Visual
854,60,1878,Visual
855,60,1580,Visual
856,60,1521,Visual
857,60,1545,Visual
858,60,1407,Visual
859,60,1624,Visual
860,60,1354,Visual
861,60,1382,Visual
862,60,1879,Visual
863,60,1886,Visual
864,60,1817,Visual
865,60,1560,Visual
866,60,1476,Visual
867,60,1413,Visual
868,60,1550,Visual
869,60,1451,Visual
870,60,1402,Visual
871,60,1882,Visual
872,60,1880,"Beat sheet"
873,60,1881,Visual
874,60,1369,Visual
875,60,1826,Visual
876,60,1475,Visual
877,60,1503,Visual
878,60,1385,Visual
879,60,1876,Visual
880,60,1400,Visual
881,60,1470,Visual
882,60,1414,Visual
883,60,1421,Visual
884,60,1654,Visual
885,60,1887,Visual
886,60,1390,Visual
887,60,1431,Visual
888,60,1366,Visual
889,60,1509,Visual
890,60,1656,Visual
891,60,1418,Visual
892,60,1889,Visual
893,60,1846,Visual
894,60,1865,Visual
895,60,1898,Visual
896,60,1578,"Beat sheet"
897,60,1590,Visual
898,60,1628,Visual
899,68,1739,"Beat sheet"
